# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
1.464128843338213803e-03	0.000000000000000000e+00	9.995457530021667480e-01
5.856515373352855214e-03	0.000000000000000000e+00	9.991145730018615723e-01
5.856515373352855214e-03	5.376344086021505805e-03	9.989677667617797852e-01
1.317715959004392423e-01	5.376344086021505805e-03	9.964805245399475098e-01
1.317715959004392423e-01	1.075268817204301161e-02	9.964757561683654785e-01
1.434846266471449527e-01	1.075268817204301161e-02	9.963023662567138672e-01
1.434846266471449527e-01	1.612903225806451568e-02	9.962722063064575195e-01
2.518301610541727742e-01	1.612903225806451568e-02	9.951283931732177734e-01
2.518301610541727742e-01	2.150537634408602322e-02	9.951281547546386719e-01
3.352855051244509332e-01	2.150537634408602322e-02	9.940983057022094727e-01
3.352855051244509332e-01	2.688172043010752729e-02	9.940925240516662598e-01
3.382137628111273608e-01	2.688172043010752729e-02	9.940336346626281738e-01
3.382137628111273608e-01	3.225806451612903136e-02	9.940290451049804688e-01
3.689604685212298785e-01	3.225806451612903136e-02	9.935700893402099609e-01
3.689604685212298785e-01	3.763440860215053890e-02	9.935664534568786621e-01
4.011713030746705821e-01	3.763440860215053890e-02	9.932689070701599121e-01
4.011713030746705821e-01	4.301075268817204644e-02	9.932245612144470215e-01
4.158125915080527202e-01	4.301075268817204644e-02	9.929081201553344727e-01
4.187408491947291478e-01	4.301075268817204644e-02	9.929021000862121582e-01
4.421669106881405686e-01	4.301075268817204644e-02	9.926617145538330078e-01
4.421669106881405686e-01	4.838709677419354704e-02	9.926359057426452637e-01
4.450951683748169962e-01	4.838709677419354704e-02	9.925786852836608887e-01
4.450951683748169962e-01	5.376344086021505458e-02	9.925767779350280762e-01
4.934114202049780240e-01	5.376344086021505458e-02	9.917694330215454102e-01
4.934114202049780240e-01	5.913978494623656212e-02	9.917542934417724609e-01
5.358711566617861966e-01	5.913978494623656212e-02	9.909954667091369629e-01
5.358711566617861966e-01	6.451612903225806273e-02	9.909878373146057129e-01
5.959004392386529902e-01	6.451612903225806273e-02	9.897241592407226562e-01
5.959004392386529902e-01	6.989247311827956333e-02	9.897158741950988770e-01
6.456808199121523151e-01	6.989247311827956333e-02	9.883286952972412109e-01
6.456808199121523151e-01	7.526881720430107781e-02	9.883154630661010742e-01
6.720351390922401080e-01	7.526881720430107781e-02	9.870096445083618164e-01
6.720351390922401080e-01	8.064516129032257841e-02	9.870052337646484375e-01
6.969253294289897704e-01	8.064516129032257841e-02	9.829913973808288574e-01
6.969253294289897704e-01	9.139784946236559349e-02	9.826122522354125977e-01
7.159590043923865776e-01	9.139784946236559349e-02	9.774407744407653809e-01
7.159590043923865776e-01	9.677419354838709409e-02	9.772793054580688477e-01
7.467057101024889842e-01	9.677419354838709409e-02	9.608224034309387207e-01
7.467057101024889842e-01	1.021505376344086086e-01	9.589731693267822266e-01
7.496339677891654674e-01	1.021505376344086086e-01	9.568237662315368652e-01
7.496339677891654674e-01	1.075268817204301092e-01	9.557314515113830566e-01
7.510980966325037089e-01	1.075268817204301092e-01	9.554871916770935059e-01
7.510980966325037089e-01	1.129032258064516098e-01	9.516744613647460938e-01
7.554904831625183226e-01	1.129032258064516098e-01	9.475654959678649902e-01
7.554904831625183226e-01	1.182795698924731242e-01	9.450913071632385254e-01
7.628111273792094194e-01	1.182795698924731242e-01	9.352102875709533691e-01
7.628111273792094194e-01	1.236559139784946248e-01	9.329757690429687500e-01
7.774524158125915019e-01	1.236559139784946248e-01	9.022840857505798340e-01
7.774524158125915019e-01	1.290322580645161255e-01	8.964551687240600586e-01
7.818448023426061155e-01	1.290322580645161255e-01	8.923845887184143066e-01
7.818448023426061155e-01	1.344086021505376261e-01	8.911110758781433105e-01
7.935578330893118260e-01	1.344086021505376261e-01	8.700520992279052734e-01
7.935578330893118260e-01	1.451612903225806550e-01	8.672165870666503906e-01
7.979502196193265506e-01	1.451612903225806550e-01	8.631771206855773926e-01
7.979502196193265506e-01	1.559139784946236562e-01	8.524709939956665039e-01
