# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
1.464128843338213803e-03	0.000000000000000000e+00	9.999636411666870117e-01
3.513909224011713128e-02	0.000000000000000000e+00	9.999454021453857422e-01
3.806734992679355889e-02	0.000000000000000000e+00	9.999452829360961914e-01
5.563689604685212453e-02	0.000000000000000000e+00	9.999386072158813477e-01
5.856515373352855214e-02	0.000000000000000000e+00	9.999382495880126953e-01
6.442166910688140735e-02	0.000000000000000000e+00	9.999363422393798828e-01
6.734992679355783496e-02	0.000000000000000000e+00	9.999357461929321289e-01
7.320644216691069017e-02	0.000000000000000000e+00	9.999341964721679688e-01
7.613469985358711778e-02	0.000000000000000000e+00	9.999322891235351562e-01
9.516837481698389722e-02	0.000000000000000000e+00	9.999244213104248047e-01
9.809663250366032483e-02	0.000000000000000000e+00	9.999240636825561523e-01
1.039531478770131800e-01	0.000000000000000000e+00	9.999225139617919922e-01
1.098096632503660353e-01	0.000000000000000000e+00	9.999209642410278320e-01
1.171303074670571043e-01	0.000000000000000000e+00	9.999188184738159180e-01
1.200585651537335319e-01	0.000000000000000000e+00	9.999186992645263672e-01
1.317715959004392423e-01	0.000000000000000000e+00	9.999147653579711914e-01
1.376281112737920975e-01	0.000000000000000000e+00	9.999129772186279297e-01
1.493411420204978080e-01	0.000000000000000000e+00	9.999092817306518555e-01
1.493411420204978080e-01	5.376344086021505805e-03	9.999090433120727539e-01
1.508052708638360218e-01	5.376344086021505805e-03	9.999088048934936523e-01
1.537335285505124494e-01	5.376344086021505805e-03	9.999082088470458984e-01
1.581259150805270908e-01	5.376344086021505805e-03	9.999073743820190430e-01
1.610541727672035184e-01	5.376344086021505805e-03	9.999070167541503906e-01
1.625183016105417322e-01	5.376344086021505805e-03	9.999067783355712891e-01
1.669106881405563736e-01	5.376344086021505805e-03	9.999058246612548828e-01
2.049780380673499325e-01	5.376344086021505805e-03	9.998908042907714844e-01
2.079062957540263601e-01	1.075268817204301161e-02	9.998905658721923828e-01
2.269399707174231395e-01	1.075268817204301161e-02	9.998841285705566406e-01
2.298682284040995671e-01	1.075268817204301161e-02	9.998836517333984375e-01
2.928257686676427607e-01	1.075268817204301161e-02	9.998552799224853516e-01
