# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
8.064516129032258058e-04	0.000000000000000000e+00	9.999364614486694336e-01
2.177419354838709686e-02	0.000000000000000000e+00	9.999155998229980469e-01
2.338709677419354913e-02	0.000000000000000000e+00	9.999153614044189453e-01
2.983870967741935470e-02	0.000000000000000000e+00	9.999105930328369141e-01
3.145161290322580350e-02	0.000000000000000000e+00	9.999094009399414062e-01
3.870967741935484041e-02	0.000000000000000000e+00	9.999037981033325195e-01
4.112903225806451707e-02	0.000000000000000000e+00	9.999033212661743164e-01
4.516129032258064252e-02	0.000000000000000000e+00	9.999012947082519531e-01
4.677419354838709825e-02	0.000000000000000000e+00	9.999005794525146484e-01
5.080645161290322370e-02	0.000000000000000000e+00	9.998995065689086914e-01
5.241935483870967943e-02	0.000000000000000000e+00	9.998993873596191406e-01
5.564516129032258396e-02	0.000000000000000000e+00	9.998980760574340820e-01
5.725806451612903275e-02	0.000000000000000000e+00	9.998978376388549805e-01
7.177419354838709964e-02	0.000000000000000000e+00	9.998915195465087891e-01
7.338709677419354149e-02	0.000000000000000000e+00	9.998914003372192383e-01
7.580645161290322509e-02	0.000000000000000000e+00	9.998892545700073242e-01
7.741935483870968082e-02	0.000000000000000000e+00	9.998884201049804688e-01
7.822580645161290869e-02	0.000000000000000000e+00	9.998880624771118164e-01
7.983870967741935054e-02	0.000000000000000000e+00	9.998873472213745117e-01
8.306451612903226200e-02	0.000000000000000000e+00	9.998869895935058594e-01
8.709677419354838745e-02	0.000000000000000000e+00	9.998847246170043945e-01
8.870967741935484319e-02	0.000000000000000000e+00	9.998843669891357422e-01
9.919354838709677769e-02	0.000000000000000000e+00	9.998793601989746094e-01
1.008064516129032195e-01	0.000000000000000000e+00	9.998788833618164062e-01
1.298387096774193672e-01	0.000000000000000000e+00	9.998592138290405273e-01
1.314516129032257952e-01	0.000000000000000000e+00	9.998590946197509766e-01
1.491935483870967805e-01	0.000000000000000000e+00	9.998452663421630859e-01
1.508064516129032362e-01	0.000000000000000000e+00	9.998450279235839844e-01
1.532258064516129059e-01	0.000000000000000000e+00	9.998413324356079102e-01
1.548387096774193616e-01	0.000000000000000000e+00	9.998403787612915039e-01
1.572580645161290314e-01	0.000000000000000000e+00	9.998379945755004883e-01
1.588709677419354871e-01	0.000000000000000000e+00	9.998377561569213867e-01
1.709677419354838634e-01	0.000000000000000000e+00	9.998258948326110840e-01
1.725806451612903192e-01	0.000000000000000000e+00	9.998237490653991699e-01
1.991935483870967694e-01	0.000000000000000000e+00	9.998020529747009277e-01
2.024193548387096808e-01	0.000000000000000000e+00	9.997984766960144043e-01
2.064516129032258063e-01	0.000000000000000000e+00	9.997956156730651855e-01
2.064516129032258063e-01	1.540832049306625632e-03	9.997941851615905762e-01
2.080645161290322620e-01	1.540832049306625632e-03	9.997925162315368652e-01
2.104838709677419317e-01	1.540832049306625632e-03	9.997921586036682129e-01
2.217741935483870941e-01	1.540832049306625632e-03	9.997763037681579590e-01
2.233870967741935498e-01	1.540832049306625632e-03	9.997759461402893066e-01
2.322580645161290425e-01	1.540832049306625632e-03	9.997636675834655762e-01
2.322580645161290425e-01	3.081664098613251263e-03	9.997617602348327637e-01
2.362903225806451679e-01	3.081664098613251263e-03	9.997534155845642090e-01
2.379032258064516236e-01	3.081664098613251263e-03	9.997529387474060059e-01
2.427419354838709631e-01	3.081664098613251263e-03	9.997463822364807129e-01
2.451612903225806328e-01	3.081664098613251263e-03	9.997459053993225098e-01
2.588709677419354649e-01	3.081664098613251263e-03	9.997246861457824707e-01
2.604838709677419484e-01	3.081664098613251263e-03	9.997224211692810059e-01
2.879032258064516125e-01	3.081664098613251263e-03	9.996846914291381836e-01
2.879032258064516125e-01	4.622496147919877112e-03	9.996845722198486328e-01
2.991935483870967749e-01	4.622496147919877112e-03	9.996596574783325195e-01
2.991935483870967749e-01	6.163328197226502526e-03	9.996585845947265625e-01
3.120967741935483653e-01	6.163328197226502526e-03	9.996361732482910156e-01
3.137096774193548487e-01	6.163328197226502526e-03	9.996333122253417969e-01
3.177419354838709742e-01	6.163328197226502526e-03	9.996250867843627930e-01
3.193548387096774022e-01	6.163328197226502526e-03	9.996231794357299805e-01
3.225806451612903136e-01	6.163328197226502526e-03	9.996137022972106934e-01
3.225806451612903136e-01	7.704160246533127941e-03	9.996128678321838379e-01
3.475806451612903358e-01	7.704160246533127941e-03	9.995452761650085449e-01
3.491935483870967638e-01	7.704160246533127941e-03	9.995439648628234863e-01
3.830645161290322509e-01	7.704160246533127941e-03	9.994307160377502441e-01
3.830645161290322509e-01	9.244992295839754223e-03	9.994286894798278809e-01
3.911290322580645018e-01	9.244992295839754223e-03	9.993990659713745117e-01
3.927419354838709853e-01	9.244992295839754223e-03	9.993984699249267578e-01
3.951612903225806273e-01	9.244992295839754223e-03	9.993908405303955078e-01
3.951612903225806273e-01	1.078582434514637964e-02	9.993894100189208984e-01
3.991935483870967527e-01	1.078582434514637964e-02	9.993656277656555176e-01
3.991935483870967527e-01	1.232665639445300505e-02	9.993625283241271973e-01
4.129032258064516125e-01	1.232665639445300505e-02	9.992763400077819824e-01
4.129032258064516125e-01	1.386748844375963047e-02	9.992761015892028809e-01
4.137096774193548265e-01	1.386748844375963047e-02	9.992731213569641113e-01
4.137096774193548265e-01	1.540832049306625588e-02	9.992718100547790527e-01
4.169354838709677380e-01	1.540832049306625588e-02	9.992535710334777832e-01
4.169354838709677380e-01	1.694915254237288130e-02	9.992532134056091309e-01
4.185483870967741660e-01	1.694915254237288130e-02	9.992364645004272461e-01
4.185483870967741660e-01	2.003081664098613213e-02	9.992235898971557617e-01
4.782258064516128893e-01	2.003081664098613213e-02	9.986310601234436035e-01
4.782258064516128893e-01	2.157164869029275928e-02	9.986166954040527344e-01
5.129032258064516459e-01	2.157164869029275928e-02	9.981661438941955566e-01
5.129032258064516459e-01	2.311248073959938296e-02	9.981601834297180176e-01
5.209677419354838968e-01	2.311248073959938296e-02	9.978869557380676270e-01
5.209677419354838968e-01	2.465331278890601011e-02	9.978780746459960938e-01
5.233870967741935942e-01	2.465331278890601011e-02	9.978427886962890625e-01
5.233870967741935942e-01	2.619414483821263379e-02	9.978227615356445312e-01
5.282258064516128782e-01	2.619414483821263379e-02	9.977153539657592773e-01
5.282258064516128782e-01	2.773497688751926094e-02	9.977098703384399414e-01
5.306451612903225756e-01	2.773497688751926094e-02	9.976240992546081543e-01
5.306451612903225756e-01	2.927580893682588462e-02	9.976188540458679199e-01
5.435483870967742215e-01	2.927580893682588462e-02	9.971055388450622559e-01
5.435483870967742215e-01	3.081664098613251176e-02	9.970970153808593750e-01
5.467741935483870774e-01	3.081664098613251176e-02	9.969632029533386230e-01
5.467741935483870774e-01	3.235747303543913544e-02	9.969618916511535645e-01
5.475806451612903469e-01	3.235747303543913544e-02	9.969549179077148438e-01
5.475806451612903469e-01	3.697996918335901689e-02	9.968452453613281250e-01
5.508064516129032029e-01	3.697996918335901689e-02	9.966834187507629395e-01
5.508064516129032029e-01	3.852080123266563710e-02	9.966540336608886719e-01
5.620967741935484208e-01	3.852080123266563710e-02	9.962877035140991211e-01
5.620967741935484208e-01	4.160246533127889140e-02	9.962215423583984375e-01
5.749999999999999556e-01	4.160246533127889140e-02	9.958527088165283203e-01
5.749999999999999556e-01	4.314329738058551855e-02	9.957536458969116211e-01
5.830645161290322065e-01	4.314329738058551855e-02	9.954707622528076172e-01
5.830645161290322065e-01	4.468412942989213876e-02	9.954487681388854980e-01
5.879032258064516014e-01	4.468412942989213876e-02	9.952772855758666992e-01
5.879032258064516014e-01	4.622496147919876591e-02	9.952266216278076172e-01
5.919354838709677269e-01	4.622496147919876591e-02	9.948660135269165039e-01
5.919354838709677269e-01	4.776579352850539306e-02	9.948463439941406250e-01
5.951612903225806939e-01	4.776579352850539306e-02	9.947282671928405762e-01
5.951612903225806939e-01	4.930662557781202021e-02	9.946993589401245117e-01
