# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
8.064516129032258058e-04	0.000000000000000000e+00	9.999769926071166992e-01
3.225806451612903223e-03	0.000000000000000000e+00	9.999740123748779297e-01
4.838709677419355051e-03	0.000000000000000000e+00	9.999737739562988281e-01
1.290322580645161289e-02	0.000000000000000000e+00	9.999711513519287109e-01
1.532258064516128955e-02	0.000000000000000000e+00	9.999709129333496094e-01
1.774193548387096794e-02	0.000000000000000000e+00	9.999698400497436523e-01
1.935483870967742021e-02	0.000000000000000000e+00	9.999696016311645508e-01
2.096774193548387247e-02	0.000000000000000000e+00	9.999692440032958984e-01
2.580645161290322578e-02	0.000000000000000000e+00	9.999688863754272461e-01
2.741935483870967805e-02	0.000000000000000000e+00	9.999685287475585938e-01
3.064516129032257910e-02	0.000000000000000000e+00	9.999680519104003906e-01
3.225806451612903136e-02	0.000000000000000000e+00	9.999675750732421875e-01
3.387096774193548709e-02	0.000000000000000000e+00	9.999674558639526367e-01
3.709677419354838468e-02	0.000000000000000000e+00	9.999666213989257812e-01
3.870967741935484041e-02	0.000000000000000000e+00	9.999665021896362305e-01
4.193548387096774493e-02	0.000000000000000000e+00	9.999653100967407227e-01
4.516129032258064252e-02	0.000000000000000000e+00	9.999648332595825195e-01
4.677419354838709825e-02	0.000000000000000000e+00	9.999647140502929688e-01
4.758064516129031918e-02	0.000000000000000000e+00	9.999645948410034180e-01
4.919354838709677491e-02	0.000000000000000000e+00	9.999642372131347656e-01
5.000000000000000278e-02	0.000000000000000000e+00	9.999639987945556641e-01
5.161290322580645157e-02	0.000000000000000000e+00	9.999638795852661133e-01
5.403225806451612823e-02	0.000000000000000000e+00	9.999637603759765625e-01
5.564516129032258396e-02	0.000000000000000000e+00	9.999636411666870117e-01
5.645161290322580488e-02	0.000000000000000000e+00	9.999631643295288086e-01
5.806451612903226062e-02	0.000000000000000000e+00	9.999630451202392578e-01
5.887096774193548154e-02	0.000000000000000000e+00	9.999629259109497070e-01
6.048387096774193727e-02	0.000000000000000000e+00	9.999628067016601562e-01
6.209677419354838607e-02	0.000000000000000000e+00	9.999623298645019531e-01
6.370967741935483486e-02	0.000000000000000000e+00	9.999622106552124023e-01
6.693548387096774632e-02	0.000000000000000000e+00	9.999613761901855469e-01
6.854838709677418818e-02	0.000000000000000000e+00	9.999612569808959961e-01
6.935483870967741604e-02	0.000000000000000000e+00	9.999611377716064453e-01
7.096774193548387177e-02	0.000000000000000000e+00	9.999610185623168945e-01
7.177419354838709964e-02	0.000000000000000000e+00	9.999607801437377930e-01
7.419354838709676936e-02	0.000000000000000000e+00	9.999605417251586914e-01
7.661290322580645296e-02	0.000000000000000000e+00	9.999601840972900391e-01
8.145161290322580627e-02	0.000000000000000000e+00	9.999599456787109375e-01
8.467741935483870386e-02	0.000000000000000000e+00	9.999594688415527344e-01
8.629032258064515959e-02	0.000000000000000000e+00	9.999591112136840820e-01
