# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
8.064516129032258058e-04	0.000000000000000000e+00	9.985401630401611328e-01
2.419354838709677526e-03	0.000000000000000000e+00	9.985215067863464355e-01
4.032258064516128920e-03	0.000000000000000000e+00	9.985022544860839844e-01
7.016129032258064391e-02	0.000000000000000000e+00	9.981347322463989258e-01
7.016129032258064391e-02	1.540832049306625632e-03	9.981318116188049316e-01
1.145161290322580655e-01	1.540832049306625632e-03	9.979566335678100586e-01
1.145161290322580655e-01	3.081664098613251263e-03	9.979556798934936523e-01
1.161290322580645212e-01	3.081664098613251263e-03	9.979452490806579590e-01
1.177419354838709631e-01	3.081664098613251263e-03	9.979447722434997559e-01
1.370967741935483764e-01	3.081664098613251263e-03	9.978806972503662109e-01
1.370967741935483764e-01	4.622496147919877112e-03	9.978805780410766602e-01
1.661290322580645240e-01	4.622496147919877112e-03	9.977510571479797363e-01
1.661290322580645240e-01	6.163328197226502526e-03	9.977487921714782715e-01
2.032258064516128948e-01	6.163328197226502526e-03	9.975699782371520996e-01
2.048387096774193505e-01	6.163328197226502526e-03	9.975693821907043457e-01
2.669354838709677158e-01	6.163328197226502526e-03	9.971320629119873047e-01
2.685483870967741993e-01	6.163328197226502526e-03	9.971277117729187012e-01
3.209677419354838857e-01	6.163328197226502526e-03	9.967526793479919434e-01
3.209677419354838857e-01	7.704160246533127941e-03	9.967522621154785156e-01
3.467741935483871218e-01	7.704160246533127941e-03	9.965326786041259766e-01
3.483870967741935498e-01	7.704160246533127941e-03	9.965173006057739258e-01
3.532258064516128893e-01	7.704160246533127941e-03	9.964259266853332520e-01
3.548387096774193727e-01	7.704160246533127941e-03	9.964248538017272949e-01
3.725806451612903025e-01	7.704160246533127941e-03	9.962725639343261719e-01
3.725806451612903025e-01	9.244992295839754223e-03	9.962646365165710449e-01
4.056451612903225756e-01	9.244992295839754223e-03	9.958484172821044922e-01
4.056451612903225756e-01	1.078582434514637964e-02	9.958439469337463379e-01
4.096774193548387011e-01	1.078582434514637964e-02	9.957380294799804688e-01
4.104838709677419151e-01	1.232665639445300505e-02	9.956982135772705078e-01
4.274193548387096864e-01	1.232665639445300505e-02	9.954708814620971680e-01
4.274193548387096864e-01	1.386748844375963047e-02	9.954284429550170898e-01
4.346774193548387233e-01	1.386748844375963047e-02	9.953799247741699219e-01
4.346774193548387233e-01	1.540832049306625588e-02	9.953605532646179199e-01
4.370967741935483653e-01	1.540832049306625588e-02	9.953197836875915527e-01
4.370967741935483653e-01	1.694915254237288130e-02	9.953055977821350098e-01
4.451612903225806717e-01	1.694915254237288130e-02	9.952265024185180664e-01
4.451612903225806717e-01	1.848998459167950845e-02	9.952243566513061523e-01
4.540322580645161366e-01	1.848998459167950845e-02	9.951190948486328125e-01
4.540322580645161366e-01	2.157164869029275928e-02	9.950625300407409668e-01
4.911290322580645351e-01	2.157164869029275928e-02	9.942889213562011719e-01
4.911290322580645351e-01	2.465331278890601011e-02	9.942611455917358398e-01
5.080645161290322509e-01	2.465331278890601011e-02	9.937783479690551758e-01
5.080645161290322509e-01	2.619414483821263379e-02	9.937752485275268555e-01
5.209677419354838968e-01	2.619414483821263379e-02	9.933584332466125488e-01
5.209677419354838968e-01	2.773497688751926094e-02	9.932752847671508789e-01
5.290322580645161477e-01	2.773497688751926094e-02	9.931208491325378418e-01
5.290322580645161477e-01	2.927580893682588462e-02	9.931188821792602539e-01
5.354838709677419706e-01	2.927580893682588462e-02	9.928638339042663574e-01
5.354838709677419706e-01	3.081664098613251176e-02	9.928628802299499512e-01
5.419354838709677935e-01	3.081664098613251176e-02	9.926363229751586914e-01
5.419354838709677935e-01	3.235747303543913544e-02	9.925918579101562500e-01
5.508064516129032029e-01	3.235747303543913544e-02	9.920163154602050781e-01
5.508064516129032029e-01	3.389830508474576259e-02	9.919760823249816895e-01
