# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
8.870967741935483972e-03	3.081664098613251263e-03	9.114631414413452148e-01
1.129032258064516063e-02	4.622496147919877112e-03	8.792657256126403809e-01
1.209677419354838676e-02	6.163328197226502526e-03	8.640937805175781250e-01
1.451612903225806515e-02	7.704160246533127941e-03	8.488107323646545410e-01
2.258064516129032126e-02	1.078582434514637964e-02	8.350911140441894531e-01
2.338709677419354913e-02	1.232665639445300505e-02	8.349255323410034180e-01
2.661290322580645018e-02	1.540832049306625588e-02	8.312275409698486328e-01
2.661290322580645018e-02	1.848998459167950845e-02	8.277993202209472656e-01
2.983870967741935470e-02	2.619414483821263379e-02	8.277869820594787598e-01
3.145161290322580350e-02	2.619414483821263379e-02	8.265447616577148438e-01
3.225806451612903136e-02	2.773497688751926094e-02	8.258006572723388672e-01
3.387096774193548709e-02	2.773497688751926094e-02	8.167558908462524414e-01
1.185483870967741910e-01	9.090909090909091161e-02	8.164586424827575684e-01
1.217741935483871024e-01	9.090909090909091161e-02	8.157460093498229980e-01
1.306451612903225812e-01	9.707241910631740633e-02	8.144754171371459961e-01
1.330645161290322509e-01	1.001540832049306606e-01	8.141692280769348145e-01
1.338709677419354926e-01	1.001540832049306606e-01	8.077582120895385742e-01
1.362903225806451624e-01	1.001540832049306606e-01	8.030496239662170410e-01
1.379032258064516181e-01	1.001540832049306606e-01	7.986950874328613281e-01
1.387096774193548321e-01	1.001540832049306606e-01	7.973096370697021484e-01
1.435483870967741993e-01	1.032357473035439149e-01	7.963948249816894531e-01
1.451612903225806550e-01	1.032357473035439149e-01	7.888497710227966309e-01
1.499999999999999944e-01	1.140215716486902980e-01	7.849632501602172852e-01
1.508064516129032362e-01	1.155624036979969183e-01	7.823076248168945312e-01
1.524193548387096642e-01	1.171032357473035385e-01	7.802538871765136719e-01
1.540322580645161199e-01	1.171032357473035385e-01	7.786878347396850586e-01
1.548387096774193616e-01	1.171032357473035385e-01	7.785590887069702148e-01
1.564516129032258174e-01	1.171032357473035385e-01	7.784283161163330078e-01
1.564516129032258174e-01	1.201848998459167928e-01	7.731722593307495117e-01
1.572580645161290314e-01	1.201848998459167928e-01	7.712814807891845703e-01
1.588709677419354871e-01	1.201848998459167928e-01	7.691060900688171387e-01
1.620967741935483986e-01	1.201848998459167928e-01	7.642215490341186523e-01
1.629032258064516125e-01	1.217257318952234268e-01	7.622486352920532227e-01
1.701612903225806495e-01	1.278890600924499354e-01	7.617246508598327637e-01
1.701612903225806495e-01	1.294298921417565418e-01	7.590346336364746094e-01
1.701612903225806495e-01	1.325115562403698100e-01	7.561985850334167480e-01
1.717741935483871052e-01	1.325115562403698100e-01	7.540093660354614258e-01
1.741935483870967749e-01	1.340523882896764163e-01	7.533766627311706543e-01
1.838709677419354815e-01	1.402157164869029249e-01	7.533556818962097168e-01
1.846774193548387233e-01	1.402157164869029249e-01	7.498694658279418945e-01
1.870967741935483930e-01	1.479198767334360676e-01	7.490062713623046875e-01
1.887096774193548487e-01	1.494607087827426739e-01	7.476094961166381836e-01
1.903225806451612767e-01	1.494607087827426739e-01	7.464269995689392090e-01
1.919354838709677324e-01	1.494607087827426739e-01	7.456017732620239258e-01
2.000000000000000111e-01	1.525423728813559421e-01	7.448072433471679688e-01
2.008064516129032251e-01	1.525423728813559421e-01	7.440754175186157227e-01
2.016129032258064391e-01	1.540832049306625484e-01	7.424871921539306641e-01
2.024193548387096808e-01	1.540832049306625484e-01	7.406064867973327637e-01
2.032258064516128948e-01	1.602465331278890570e-01	7.396555542945861816e-01
2.040322580645161366e-01	1.602465331278890570e-01	7.392210364341735840e-01
2.080645161290322620e-01	1.602465331278890570e-01	7.374071478843688965e-01
2.096774193548387177e-01	1.602465331278890570e-01	7.365236282348632812e-01
2.096774193548387177e-01	1.633281972265022974e-01	7.299579977989196777e-01
2.354838709677419262e-01	1.802773497688751891e-01	7.296847105026245117e-01
