# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
1.464128843338213803e-03	0.000000000000000000e+00	9.997524619102478027e-01
8.345534407027818680e-02	0.000000000000000000e+00	9.993926286697387695e-01
8.638360175695461440e-02	0.000000000000000000e+00	9.993829727172851562e-01
1.991215226939970773e-01	0.000000000000000000e+00	9.989474415779113770e-01
2.020497803806735049e-01	0.000000000000000000e+00	9.989425539970397949e-01
2.518301610541727742e-01	0.000000000000000000e+00	9.987285733222961426e-01
2.547584187408492018e-01	0.000000000000000000e+00	9.987022876739501953e-01
2.562225475841873878e-01	0.000000000000000000e+00	9.987008571624755859e-01
2.562225475841873878e-01	1.075268817204301161e-02	9.986610412597656250e-01
2.664714494875549122e-01	1.075268817204301161e-02	9.986253976821899414e-01
2.693997071742313398e-01	1.075268817204301161e-02	9.986168146133422852e-01
3.089311859443630848e-01	1.075268817204301161e-02	9.983835220336914062e-01
3.118594436310395124e-01	1.075268817204301161e-02	9.983768463134765625e-01
3.455344070278184576e-01	1.075268817204301161e-02	9.981125593185424805e-01
3.455344070278184576e-01	1.612903225806451568e-02	9.981004595756530762e-01
3.587115666178623541e-01	1.612903225806451568e-02	9.979612827301025391e-01
3.587115666178623541e-01	2.150537634408602322e-02	9.979311227798461914e-01
3.850658857979502026e-01	2.150537634408602322e-02	9.973551034927368164e-01
3.850658857979502026e-01	2.688172043010752729e-02	9.973279237747192383e-01
4.743777452415812723e-01	2.688172043010752729e-02	9.952892065048217773e-01
4.743777452415812723e-01	3.225806451612903136e-02	9.952797889709472656e-01
5.007320644216690653e-01	3.225806451612903136e-02	9.943611621856689453e-01
5.007320644216690653e-01	3.763440860215053890e-02	9.941970109939575195e-01
5.490483162518301485e-01	3.763440860215053890e-02	9.913269877433776855e-01
5.490483162518301485e-01	4.301075268817204644e-02	9.910939335823059082e-01
5.636896046852123421e-01	4.301075268817204644e-02	9.897432923316955566e-01
5.636896046852123421e-01	4.838709677419354704e-02	9.897010326385498047e-01
5.739385065885798110e-01	4.838709677419354704e-02	9.888302683830261230e-01
5.739385065885798110e-01	5.376344086021505458e-02	9.887574315071105957e-01
5.929721815519766182e-01	5.376344086021505458e-02	9.864252805709838867e-01
5.929721815519766182e-01	5.913978494623656212e-02	9.864081144332885742e-01
6.032210834553440870e-01	5.913978494623656212e-02	9.855878353118896484e-01
6.032210834553440870e-01	6.451612903225806273e-02	9.855816960334777832e-01
6.090775988286969422e-01	6.451612903225806273e-02	9.850267767906188965e-01
6.090775988286969422e-01	6.989247311827956333e-02	9.849407076835632324e-01
6.251830161054172663e-01	6.989247311827956333e-02	9.823399186134338379e-01
6.251830161054172663e-01	7.526881720430107781e-02	9.819571971893310547e-01
6.368960468521229767e-01	7.526881720430107781e-02	9.800134897232055664e-01
6.368960468521229767e-01	8.064516129032257841e-02	9.795613884925842285e-01
6.617862371888726392e-01	8.064516129032257841e-02	9.763467311859130859e-01
6.617862371888726392e-01	8.602150537634409289e-02	9.761981368064880371e-01
6.734992679355783496e-01	8.602150537634409289e-02	9.724478125572204590e-01
6.734992679355783496e-01	9.677419354838709409e-02	9.709445834159851074e-01
7.057101024890189978e-01	9.677419354838709409e-02	9.604676365852355957e-01
7.057101024890189978e-01	1.021505376344086086e-01	9.584731459617614746e-01
7.086383601756954809e-01	1.021505376344086086e-01	9.582892060279846191e-01
7.086383601756954809e-01	1.075268817204301092e-01	9.579547047615051270e-01
7.115666178623718530e-01	1.075268817204301092e-01	9.559161663055419922e-01
7.115666178623718530e-01	1.129032258064516098e-01	9.551345705986022949e-01
7.437774524158126122e-01	1.129032258064516098e-01	9.293547868728637695e-01
7.437774524158126122e-01	1.236559139784946248e-01	9.229677319526672363e-01
7.540263543191800810e-01	1.236559139784946248e-01	9.136208295822143555e-01
7.540263543191800810e-01	1.290322580645161255e-01	9.117369651794433594e-01
7.584187408491946947e-01	1.290322580645161255e-01	9.061439037322998047e-01
7.584187408491946947e-01	1.344086021505376261e-01	9.055832624435424805e-01
7.598828696925329362e-01	1.344086021505376261e-01	9.024989008903503418e-01
7.598828696925329362e-01	1.505376344086021556e-01	8.952569961547851562e-01
7.613469985358711778e-01	1.505376344086021556e-01	8.950209617614746094e-01
7.613469985358711778e-01	1.559139784946236562e-01	8.944340348243713379e-01
7.730600292825768882e-01	1.559139784946236562e-01	8.688123226165771484e-01
7.730600292825768882e-01	1.612903225806451568e-01	8.687874674797058105e-01
7.818448023426061155e-01	1.612903225806451568e-01	8.538889884948730469e-01
7.818448023426061155e-01	1.666666666666666574e-01	8.530402183532714844e-01
7.847730600292825986e-01	1.666666666666666574e-01	8.475746512413024902e-01
7.847730600292825986e-01	1.720430107526881858e-01	8.475501537322998047e-01
7.935578330893118260e-01	1.720430107526881858e-01	8.181577920913696289e-01
7.935578330893118260e-01	1.774193548387096864e-01	8.084101676940917969e-01
8.140556368960468747e-01	1.774193548387096864e-01	7.765031456947326660e-01
8.140556368960468747e-01	1.827956989247311870e-01	7.751193046569824219e-01
8.272327964860908267e-01	1.827956989247311870e-01	7.577496767044067383e-01
8.272327964860908267e-01	1.881720430107526876e-01	7.569217085838317871e-01
8.360175695461200540e-01	1.881720430107526876e-01	7.245669364929199219e-01
8.360175695461200540e-01	1.989247311827956888e-01	7.172353863716125488e-01
8.418740849194729092e-01	1.989247311827956888e-01	7.067969441413879395e-01
8.418740849194729092e-01	2.096774193548387177e-01	7.014005780220031738e-01
8.448023426061493923e-01	2.096774193548387177e-01	6.919856667518615723e-01
8.448023426061493923e-01	2.150537634408602183e-01	6.881350278854370117e-01
8.462664714494875229e-01	2.150537634408602183e-01	6.866616606712341309e-01
8.462664714494875229e-01	2.204301075268817189e-01	6.854467988014221191e-01
