# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
1.464128843338213803e-03	0.000000000000000000e+00	9.999737739562988281e-01
5.856515373352855214e-03	0.000000000000000000e+00	9.999705553054809570e-01
8.784773060029282821e-03	0.000000000000000000e+00	9.999696016311645508e-01
2.635431918008784846e-02	0.000000000000000000e+00	9.999645948410034180e-01
2.928257686676427607e-02	0.000000000000000000e+00	9.999644756317138672e-01
3.513909224011713128e-02	0.000000000000000000e+00	9.999622106552124023e-01
3.806734992679355889e-02	0.000000000000000000e+00	9.999620914459228516e-01
3.953147877013177269e-02	0.000000000000000000e+00	9.999618530273437500e-01
4.538799414348462791e-02	0.000000000000000000e+00	9.999616146087646484e-01
4.831625183016105551e-02	0.000000000000000000e+00	9.999613761901855469e-01
5.124450951683748312e-02	0.000000000000000000e+00	9.999612569808959961e-01
6.588579795021962116e-02	0.000000000000000000e+00	9.999581575393676758e-01
6.881405563689604876e-02	0.000000000000000000e+00	9.999580383300781250e-01
8.199121522693997299e-02	0.000000000000000000e+00	9.999551773071289062e-01
8.491947291361640060e-02	0.000000000000000000e+00	9.999550580978393555e-01
8.784773060029282821e-02	0.000000000000000000e+00	9.999547004699707031e-01
9.077598828696925581e-02	0.000000000000000000e+00	9.999545812606811523e-01
9.077598828696925581e-02	5.376344086021505805e-03	9.999544620513916016e-01
9.224011713030746962e-02	5.376344086021505805e-03	9.999543428421020508e-01
9.516837481698389722e-02	5.376344086021505805e-03	9.999541044235229492e-01
9.809663250366032483e-02	5.376344086021505805e-03	9.999535083770751953e-01
1.039531478770131800e-01	5.376344086021505805e-03	9.999532699584960938e-01
1.083455344070278215e-01	5.376344086021505805e-03	9.999523162841796875e-01
1.112737920937042491e-01	5.376344086021505805e-03	9.999521970748901367e-01
1.127379209370424629e-01	5.376344086021505805e-03	9.999520778656005859e-01
1.156661786237188905e-01	5.376344086021505805e-03	9.999517202377319336e-01
1.259150805270863871e-01	5.376344086021505805e-03	9.999499320983886719e-01
1.434846266471449527e-01	5.376344086021505805e-03	9.999480247497558594e-01
1.464128843338213803e-01	5.376344086021505805e-03	9.999470710754394531e-01
1.508052708638360218e-01	5.376344086021505805e-03	9.999465942382812500e-01
1.581259150805270908e-01	5.376344086021505805e-03	9.999448060989379883e-01
1.610541727672035184e-01	5.376344086021505805e-03	9.999446868896484375e-01
1.669106881405563736e-01	5.376344086021505805e-03	9.999439716339111328e-01
1.698389458272328012e-01	5.376344086021505805e-03	9.999436140060424805e-01
1.713030746705710150e-01	5.376344086021505805e-03	9.999433755874633789e-01
1.742313323572474426e-01	5.376344086021505805e-03	9.999432563781738281e-01
1.844802342606149392e-01	5.376344086021505805e-03	9.999414682388305664e-01
1.874084919472913668e-01	5.376344086021505805e-03	9.999407529830932617e-01
1.888726207906295806e-01	5.376344086021505805e-03	9.999406337738037109e-01
1.918008784773060083e-01	5.376344086021505805e-03	9.999405145645141602e-01
2.064421669106881463e-01	5.376344086021505805e-03	9.999364614486694336e-01
2.093704245973645739e-01	5.376344086021505805e-03	9.999359846115112305e-01
2.108345534407027877e-01	5.376344086021505805e-03	9.999350309371948242e-01
2.166910688140556429e-01	5.376344086021505805e-03	9.999345541000366211e-01
2.225475841874084981e-01	5.376344086021505805e-03	9.999337196350097656e-01
2.225475841874084981e-01	1.075268817204301161e-02	9.999333620071411133e-01
2.342606149341142086e-01	1.075268817204301161e-02	9.999300241470336914e-01
2.371888726207906362e-01	1.075268817204301161e-02	9.999297857284545898e-01
2.401171303074670638e-01	1.075268817204301161e-02	9.999291896820068359e-01
2.459736456808199190e-01	1.075268817204301161e-02	9.999281167984008789e-01
2.474377745241581328e-01	1.075268817204301161e-02	9.999276399612426758e-01
2.503660322108345326e-01	1.075268817204301161e-02	9.999272823333740234e-01
2.532942898975109602e-01	1.075268817204301161e-02	9.999266862869262695e-01
