# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
1.464128843338213803e-03	0.000000000000000000e+00	9.998003840446472168e-01
7.320644216691069017e-03	0.000000000000000000e+00	9.997550845146179199e-01
1.024890190336749662e-02	0.000000000000000000e+00	9.997543692588806152e-01
1.464128843338213803e-02	0.000000000000000000e+00	9.997462630271911621e-01
1.756954612005856564e-02	0.000000000000000000e+00	9.997442364692687988e-01
3.074670571010248987e-02	0.000000000000000000e+00	9.997324347496032715e-01
3.074670571010248987e-02	5.376344086021505805e-03	9.997311234474182129e-01
4.685212298682284171e-02	5.376344086021505805e-03	9.997156262397766113e-01
4.978038067349926932e-02	5.376344086021505805e-03	9.997155070304870605e-01
4.978038067349926932e-02	1.075268817204301161e-02	9.997145533561706543e-01
7.759882869692533158e-02	1.075268817204301161e-02	9.997005462646484375e-01
8.052708638360175919e-02	1.075268817204301161e-02	9.997003078460693359e-01
9.370424597364568342e-02	1.075268817204301161e-02	9.996870756149291992e-01
9.370424597364568342e-02	1.612903225806451568e-02	9.996860027313232422e-01
9.516837481698389722e-02	1.612903225806451568e-02	9.996829032897949219e-01
9.809663250366032483e-02	1.612903225806451568e-02	9.996823072433471680e-01
1.185944363103953181e-01	1.612903225806451568e-02	9.996675252914428711e-01
1.244509516837481733e-01	1.612903225806451568e-02	9.996647834777832031e-01
2.035139092240117187e-01	1.612903225806451568e-02	9.996053576469421387e-01
2.064421669106881463e-01	1.612903225806451568e-02	9.996048808097839355e-01
2.474377745241581328e-01	1.612903225806451568e-02	9.995722174644470215e-01
2.474377745241581328e-01	2.150537634408602322e-02	9.995720982551574707e-01
2.708638360175695259e-01	2.150537634408602322e-02	9.995509982109069824e-01
2.737920937042459535e-01	2.150537634408602322e-02	9.995463490486145020e-01
2.884333821376280915e-01	2.150537634408602322e-02	9.995208978652954102e-01
2.884333821376280915e-01	2.688172043010752729e-02	9.995192289352416992e-01
2.957540263543191883e-01	2.688172043010752729e-02	9.995065927505493164e-01
2.957540263543191883e-01	3.225806451612903136e-02	9.995042085647583008e-01
3.967789165446559130e-01	3.225806451612903136e-02	9.993100166320800781e-01
3.982430453879941545e-01	3.763440860215053890e-02	9.993046522140502930e-01
4.289897510980966167e-01	3.763440860215053890e-02	9.992175102233886719e-01
4.289897510980966167e-01	4.301075268817204644e-02	9.992126226425170898e-01
4.363103953147877134e-01	4.301075268817204644e-02	9.991928935050964355e-01
4.392386530014641410e-01	4.301075268817204644e-02	9.991897940635681152e-01
4.904831625183015964e-01	4.301075268817204644e-02	9.989166259765625000e-01
4.904831625183015964e-01	4.838709677419354704e-02	9.989063739776611328e-01
5.021961932650073068e-01	4.838709677419354704e-02	9.988216757774353027e-01
5.021961932650073068e-01	5.376344086021505458e-02	9.988061189651489258e-01
5.270863836017569692e-01	5.376344086021505458e-02	9.986044764518737793e-01
5.300146412884333413e-01	5.376344086021505458e-02	9.985874891281127930e-01
5.402635431918009212e-01	5.376344086021505458e-02	9.985047578811645508e-01
5.402635431918009212e-01	5.913978494623656212e-02	9.984989166259765625e-01
5.505124450951683901e-01	5.913978494623656212e-02	9.984740614891052246e-01
5.534407027818447622e-01	5.913978494623656212e-02	9.984649419784545898e-01
5.549048316251830038e-01	5.913978494623656212e-02	9.984293580055236816e-01
5.549048316251830038e-01	6.451612903225806273e-02	9.984108209609985352e-01
5.592972181551976174e-01	6.451612903225806273e-02	9.983974099159240723e-01
5.592972181551976174e-01	7.526881720430107781e-02	9.983508586883544922e-01
5.841874084919472798e-01	7.526881720430107781e-02	9.979593753814697266e-01
5.841874084919472798e-01	8.064516129032257841e-02	9.979276657104492188e-01
6.002928257686676039e-01	8.064516129032257841e-02	9.977587461471557617e-01
6.002928257686676039e-01	8.602150537634409289e-02	9.977553486824035645e-01
6.559297218155197839e-01	8.602150537634409289e-02	9.967586398124694824e-01
6.559297218155197839e-01	9.677419354838709409e-02	9.966329932212829590e-01
6.647144948755490113e-01	9.677419354838709409e-02	9.964648485183715820e-01
6.647144948755490113e-01	1.021505376344086086e-01	9.963906407356262207e-01
6.808199121522694464e-01	1.021505376344086086e-01	9.959850311279296875e-01
6.808199121522694464e-01	1.075268817204301092e-01	9.959640502929687500e-01
7.144948755490483361e-01	1.075268817204301092e-01	9.940381050109863281e-01
7.144948755490483361e-01	1.129032258064516098e-01	9.940105080604553223e-01
7.203513909224011913e-01	1.129032258064516098e-01	9.938016533851623535e-01
7.203513909224011913e-01	1.182795698924731242e-01	9.937741756439208984e-01
7.393850658857979985e-01	1.182795698924731242e-01	9.923799037933349609e-01
7.393850658857979985e-01	1.236559139784946248e-01	9.922905564308166504e-01
7.452415812591508537e-01	1.236559139784946248e-01	9.917676448822021484e-01
7.452415812591508537e-01	1.290322580645161255e-01	9.917219281196594238e-01
7.496339677891654674e-01	1.290322580645161255e-01	9.910161495208740234e-01
7.496339677891654674e-01	1.344086021505376261e-01	9.909720420837402344e-01
7.730600292825768882e-01	1.344086021505376261e-01	9.880559444427490234e-01
7.730600292825768882e-01	1.397849462365591267e-01	9.880201220512390137e-01
7.891654465592972123e-01	1.397849462365591267e-01	9.854743480682373047e-01
7.891654465592972123e-01	1.451612903225806550e-01	9.849356412887573242e-01
8.038067349926794058e-01	1.451612903225806550e-01	9.817079305648803711e-01
8.038067349926794058e-01	1.505376344086021556e-01	9.815447330474853516e-01
8.111273792093703916e-01	1.505376344086021556e-01	9.799103736877441406e-01
8.111273792093703916e-01	1.559139784946236562e-01	9.791841506958007812e-01
8.125915080527086332e-01	1.559139784946236562e-01	9.789713621139526367e-01
8.125915080527086332e-01	1.666666666666666574e-01	9.772252440452575684e-01
8.155197657393851163e-01	1.666666666666666574e-01	9.738069772720336914e-01
8.155197657393851163e-01	1.720430107526881858e-01	9.717066884040832520e-01
8.184480234260614884e-01	1.720430107526881858e-01	9.711406230926513672e-01
8.184480234260614884e-01	1.774193548387096864e-01	9.703460931777954102e-01
8.272327964860908267e-01	1.774193548387096864e-01	9.682145714759826660e-01
8.272327964860908267e-01	1.935483870967741882e-01	9.648402929306030273e-01
8.301610541727671988e-01	1.935483870967741882e-01	9.619175791740417480e-01
8.301610541727671988e-01	1.989247311827956888e-01	9.613552689552307129e-01
8.404099560761346677e-01	1.989247311827956888e-01	9.480106830596923828e-01
8.404099560761346677e-01	2.043010752688172171e-01	9.475699067115783691e-01
8.433382137628111508e-01	2.043010752688172171e-01	9.452029466629028320e-01
8.433382137628111508e-01	2.096774193548387177e-01	9.441872239112854004e-01
8.506588579795022476e-01	2.096774193548387177e-01	9.382259845733642578e-01
8.506588579795022476e-01	2.204301075268817189e-01	9.323777556419372559e-01
8.535871156661786197e-01	2.204301075268817189e-01	9.282727837562561035e-01
8.535871156661786197e-01	2.258064516129032195e-01	9.228891134262084961e-01
8.609077598828697164e-01	2.258064516129032195e-01	9.104918241500854492e-01
8.609077598828697164e-01	2.311827956989247201e-01	9.086467623710632324e-01
8.682284040995608132e-01	2.311827956989247201e-01	8.911516070365905762e-01
8.682284040995608132e-01	2.365591397849462485e-01	8.896324038505554199e-01
8.696925329428989437e-01	2.365591397849462485e-01	8.876852393150329590e-01
8.696925329428989437e-01	2.419354838709677491e-01	8.798109889030456543e-01
8.726207906295754269e-01	2.419354838709677491e-01	8.744458556175231934e-01
8.726207906295754269e-01	2.473118279569892497e-01	8.668785095214843750e-01
8.784773060029282821e-01	2.473118279569892497e-01	8.412109613418579102e-01
8.784773060029282821e-01	2.580645161290322509e-01	8.299404978752136230e-01
8.799414348462665236e-01	2.580645161290322509e-01	8.289515376091003418e-01
8.799414348462665236e-01	2.634408602150537515e-01	8.183228373527526855e-01
8.828696925329428957e-01	2.634408602150537515e-01	8.015218377113342285e-01
8.828696925329428957e-01	2.795698924731182533e-01	7.806012630462646484e-01
