# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
1.464128843338213803e-03	0.000000000000000000e+00	8.922072052955627441e-01
1.171303074670571043e-02	0.000000000000000000e+00	8.825607895851135254e-01
2.196193265007320705e-02	5.376344086021505805e-03	8.747898936271667480e-01
2.342606149341142086e-02	5.376344086021505805e-03	8.742967247962951660e-01
2.928257686676427607e-02	5.376344086021505805e-03	8.695782423019409180e-01
3.367496339677891748e-02	5.376344086021505805e-03	8.688477873802185059e-01
3.660322108345534509e-02	5.376344086021505805e-03	8.677542209625244141e-01
4.685212298682284171e-02	1.075268817204301161e-02	8.670364618301391602e-01
5.417276720351391073e-02	1.075268817204301161e-02	8.557854890823364258e-01
5.710102489019033833e-02	1.612903225806451568e-02	8.547595739364624023e-01
6.734992679355783496e-02	1.612903225806451568e-02	8.457549810409545898e-01
6.734992679355783496e-02	2.688172043010752729e-02	8.441377878189086914e-01
7.320644216691069017e-02	2.688172043010752729e-02	8.425949215888977051e-01
7.613469985358711778e-02	2.688172043010752729e-02	8.398582935333251953e-01
7.906295754026354539e-02	2.688172043010752729e-02	8.377572298049926758e-01
8.052708638360175919e-02	3.225806451612903136e-02	8.357853889465332031e-01
8.345534407027818680e-02	3.763440860215053890e-02	8.355453014373779297e-01
8.931185944363104201e-02	3.763440860215053890e-02	8.346051573753356934e-01
8.931185944363104201e-02	4.301075268817204644e-02	8.343645930290222168e-01
9.077598828696925581e-02	4.301075268817204644e-02	8.340737819671630859e-01
9.224011713030746962e-02	4.838709677419354704e-02	8.338292837142944336e-01
9.516837481698389722e-02	4.838709677419354704e-02	8.332841396331787109e-01
9.663250366032211103e-02	4.838709677419354704e-02	8.332455754280090332e-01
1.229868228404099595e-01	8.064516129032257841e-02	8.330247998237609863e-01
1.317715959004392423e-01	8.064516129032257841e-02	8.313618302345275879e-01
1.317715959004392423e-01	8.602150537634409289e-02	8.307107090950012207e-01
1.346998535871156699e-01	8.602150537634409289e-02	8.291211724281311035e-01
1.346998535871156699e-01	9.139784946236559349e-02	8.289709091186523438e-01
1.361639824304538837e-01	9.139784946236559349e-02	8.288914561271667480e-01
1.390922401171303113e-01	9.139784946236559349e-02	8.283591270446777344e-01
1.420204978038067389e-01	9.139784946236559349e-02	8.280962109565734863e-01
1.434846266471449527e-01	1.021505376344086086e-01	8.277840018272399902e-01
1.464128843338213803e-01	1.021505376344086086e-01	8.277814984321594238e-01
1.537335285505124494e-01	1.129032258064516098e-01	8.275697827339172363e-01
1.566617862371888770e-01	1.129032258064516098e-01	8.267779350280761719e-01
1.654465592972181598e-01	1.129032258064516098e-01	8.259985446929931641e-01
1.669106881405563736e-01	1.129032258064516098e-01	8.256403803825378418e-01
1.683748169838945874e-01	1.182795698924731242e-01	8.247519135475158691e-01
1.698389458272328012e-01	1.182795698924731242e-01	8.240306377410888672e-01
1.742313323572474426e-01	1.182795698924731242e-01	8.238310217857360840e-01
1.771595900439238702e-01	1.236559139784946248e-01	8.231978416442871094e-01
1.771595900439238702e-01	1.290322580645161255e-01	8.230735659599304199e-01
1.786237188872620840e-01	1.290322580645161255e-01	8.228437900543212891e-01
1.815519765739385116e-01	1.290322580645161255e-01	8.227892518043518066e-01
1.874084919472913668e-01	1.290322580645161255e-01	8.204355239868164062e-01
1.932650073206442221e-01	1.290322580645161255e-01	8.197491765022277832e-01
1.991215226939970773e-01	1.290322580645161255e-01	8.191527128219604492e-01
1.991215226939970773e-01	1.344086021505376261e-01	8.189764022827148438e-01
2.005856515373352911e-01	1.344086021505376261e-01	8.186630606651306152e-01
2.035139092240117187e-01	1.344086021505376261e-01	8.180710673332214355e-01
2.093704245973645739e-01	1.344086021505376261e-01	8.175576329231262207e-01
2.122986822840410015e-01	1.344086021505376261e-01	8.174887895584106445e-01
2.137628111273792153e-01	1.397849462365591267e-01	8.173792362213134766e-01
2.196193265007320705e-01	1.397849462365591267e-01	8.164551258087158203e-01
2.298682284040995671e-01	1.397849462365591267e-01	8.161625862121582031e-01
2.313323572474377809e-01	1.397849462365591267e-01	8.161568641662597656e-01
2.313323572474377809e-01	1.451612903225806550e-01	8.156373500823974609e-01
2.327964860907759947e-01	1.451612903225806550e-01	8.155750632286071777e-01
2.342606149341142086e-01	1.505376344086021556e-01	8.152089715003967285e-01
2.371888726207906362e-01	1.505376344086021556e-01	8.147473931312561035e-01
3.060029282576866572e-01	2.204301075268817189e-01	8.146768808364868164e-01
3.074670571010248987e-01	2.204301075268817189e-01	8.145303726196289062e-01
3.103953147877013263e-01	2.258064516129032195e-01	8.144434094429016113e-01
3.118594436310395124e-01	2.258064516129032195e-01	8.142412304878234863e-01
3.162518301610541815e-01	2.473118279569892497e-01	8.139465451240539551e-01
3.177159590043923676e-01	2.473118279569892497e-01	8.139456510543823242e-01
