# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
1.464128843338213803e-03	0.000000000000000000e+00	9.999988079071044922e-01
1.024890190336749662e-02	0.000000000000000000e+00	9.995226860046386719e-01
1.024890190336749662e-02	5.376344086021505805e-03	9.994925260543823242e-01
8.491947291361640060e-02	5.376344086021505805e-03	9.956673383712768555e-01
8.491947291361640060e-02	1.075268817204301161e-02	9.955928921699523926e-01
1.171303074670571043e-01	1.075268817204301161e-02	9.941545128822326660e-01
1.171303074670571043e-01	1.612903225806451568e-02	9.941362142562866211e-01
1.434846266471449527e-01	1.612903225806451568e-02	9.931968450546264648e-01
1.434846266471449527e-01	2.150537634408602322e-02	9.930604696273803711e-01
1.625183016105417322e-01	2.150537634408602322e-02	9.920746088027954102e-01
1.625183016105417322e-01	2.688172043010752729e-02	9.920336604118347168e-01
2.606149341142020570e-01	2.688172043010752729e-02	9.876922965049743652e-01
2.606149341142020570e-01	3.225806451612903136e-02	9.875312447547912598e-01
2.620790629575402431e-01	3.225806451612903136e-02	9.875226616859436035e-01
2.620790629575402431e-01	3.763440860215053890e-02	9.872846007347106934e-01
3.836017569546120165e-01	3.763440860215053890e-02	9.805791974067687988e-01
3.836017569546120165e-01	4.301075268817204644e-02	9.804095029830932617e-01
4.040995607613470098e-01	4.301075268817204644e-02	9.791492819786071777e-01
4.040995607613470098e-01	4.838709677419354704e-02	9.790326356887817383e-01
4.216691068814055754e-01	4.838709677419354704e-02	9.775980710983276367e-01
4.216691068814055754e-01	5.376344086021505458e-02	9.775912761688232422e-01
4.597364568081991343e-01	5.376344086021505458e-02	9.750562906265258789e-01
4.597364568081991343e-01	5.913978494623656212e-02	9.749867916107177734e-01
4.875549048316251688e-01	5.913978494623656212e-02	9.724712371826171875e-01
4.875549048316251688e-01	6.451612903225806273e-02	9.724302291870117188e-01
5.241581259150804861e-01	6.451612903225806273e-02	9.690078496932983398e-01
5.241581259150804861e-01	6.989247311827956333e-02	9.689885973930358887e-01
5.256222547584187277e-01	6.989247311827956333e-02	9.687572121620178223e-01
5.256222547584187277e-01	7.526881720430107781e-02	9.684355258941650391e-01
5.300146412884333413e-01	7.526881720430107781e-02	9.681524038314819336e-01
5.300146412884333413e-01	8.064516129032257841e-02	9.681465029716491699e-01
5.475841874084919070e-01	8.064516129032257841e-02	9.667184948921203613e-01
5.475841874084919070e-01	8.602150537634409289e-02	9.666944146156311035e-01
5.505124450951683901e-01	8.602150537634409289e-02	9.659804701805114746e-01
5.505124450951683901e-01	9.139784946236559349e-02	9.658582210540771484e-01
5.739385065885798110e-01	9.139784946236559349e-02	9.631288647651672363e-01
5.739385065885798110e-01	9.677419354838709409e-02	9.628016948699951172e-01
5.871156661786237629e-01	9.677419354838709409e-02	9.609884023666381836e-01
5.871156661786237629e-01	1.021505376344086086e-01	9.607318639755249023e-01
5.959004392386529902e-01	1.021505376344086086e-01	9.602113366127014160e-01
5.959004392386529902e-01	1.075268817204301092e-01	9.601592421531677246e-01
5.973645680819912318e-01	1.075268817204301092e-01	9.600185155868530273e-01
5.973645680819912318e-01	1.129032258064516098e-01	9.599664211273193359e-01
6.120058565153733143e-01	1.129032258064516098e-01	9.570580720901489258e-01
6.120058565153733143e-01	1.182795698924731242e-01	9.569458365440368652e-01
6.163982430453880390e-01	1.182795698924731242e-01	9.564827084541320801e-01
6.163982430453880390e-01	1.236559139784946248e-01	9.563357234001159668e-01
6.339677891654466046e-01	1.236559139784946248e-01	9.547141194343566895e-01
6.339677891654466046e-01	1.290322580645161255e-01	9.541953206062316895e-01
6.486090775988286872e-01	1.290322580645161255e-01	9.504927396774291992e-01
6.486090775988286872e-01	1.344086021505376261e-01	9.501847028732299805e-01
6.691068814055637359e-01	1.344086021505376261e-01	9.460223317146301270e-01
6.691068814055637359e-01	1.397849462365591267e-01	9.455097913742065430e-01
6.822840409956075769e-01	1.397849462365591267e-01	9.429416656494140625e-01
6.822840409956075769e-01	1.451612903225806550e-01	9.427253007888793945e-01
6.969253294289897704e-01	1.451612903225806550e-01	9.390742182731628418e-01
6.969253294289897704e-01	1.505376344086021556e-01	9.389923214912414551e-01
7.042459736456808672e-01	1.505376344086021556e-01	9.380733370780944824e-01
7.042459736456808672e-01	1.559139784946236562e-01	9.379325509071350098e-01
7.188872620790629497e-01	1.559139784946236562e-01	9.348212480545043945e-01
7.188872620790629497e-01	1.612903225806451568e-01	9.346848726272583008e-01
7.218155197657394329e-01	1.612903225806451568e-01	9.334937334060668945e-01
7.218155197657394329e-01	1.666666666666666574e-01	9.329054951667785645e-01
7.525622254758418395e-01	1.666666666666666574e-01	9.235304594039916992e-01
7.525622254758418395e-01	1.720430107526881858e-01	9.235163331031799316e-01
7.569546120058565641e-01	1.720430107526881858e-01	9.219443798065185547e-01
7.569546120058565641e-01	1.774193548387096864e-01	9.213700294494628906e-01
7.613469985358711778e-01	1.774193548387096864e-01	9.206137061119079590e-01
7.613469985358711778e-01	1.827956989247311870e-01	9.202357530593872070e-01
7.745241581259151298e-01	1.827956989247311870e-01	9.119925498962402344e-01
7.745241581259151298e-01	1.935483870967741882e-01	9.100999832153320312e-01
7.877013177159589707e-01	1.935483870967741882e-01	9.074143171310424805e-01
7.877013177159589707e-01	1.989247311827956888e-01	9.068920016288757324e-01
7.950219619326500675e-01	1.989247311827956888e-01	9.035347104072570801e-01
7.950219619326500675e-01	2.043010752688172171e-01	9.032025933265686035e-01
8.023426061493411643e-01	2.043010752688172171e-01	9.004946947097778320e-01
8.023426061493411643e-01	2.096774193548387177e-01	9.004623293876647949e-01
8.213762811127379715e-01	2.096774193548387177e-01	8.873206377029418945e-01
8.213762811127379715e-01	2.204301075268817189e-01	8.857931494712829590e-01
8.360175695461200540e-01	2.204301075268817189e-01	8.727476596832275391e-01
8.360175695461200540e-01	2.311827956989247201e-01	8.667037487030029297e-01
8.448023426061493923e-01	2.311827956989247201e-01	8.427401781082153320e-01
8.448023426061493923e-01	2.365591397849462485e-01	8.400397896766662598e-01
8.579795021961932333e-01	2.365591397849462485e-01	7.992802858352661133e-01
8.579795021961932333e-01	2.419354838709677491e-01	7.986904978752136230e-01
8.653001464128843301e-01	2.419354838709677491e-01	7.847889065742492676e-01
8.653001464128843301e-01	2.473118279569892497e-01	7.822355031967163086e-01
8.667642752562225716e-01	2.473118279569892497e-01	7.817315459251403809e-01
8.667642752562225716e-01	2.526881720430107503e-01	7.800721526145935059e-01
8.696925329428989437e-01	2.526881720430107503e-01	7.728779911994934082e-01
8.696925329428989437e-01	2.634408602150537515e-01	7.682072520256042480e-01
8.740849194729136684e-01	2.634408602150537515e-01	7.605578899383544922e-01
8.740849194729136684e-01	2.795698924731182533e-01	7.359759807586669922e-01
8.784773060029282821e-01	2.795698924731182533e-01	6.880612969398498535e-01
8.784773060029282821e-01	2.849462365591398094e-01	6.833490729331970215e-01
8.814055636896046542e-01	2.849462365591398094e-01	6.636019349098205566e-01
8.814055636896046542e-01	2.903225806451613100e-01	6.620749235153198242e-01
8.901903367496339925e-01	2.903225806451613100e-01	6.291629076004028320e-01
8.901903367496339925e-01	3.010752688172043112e-01	6.114095449447631836e-01
8.945827232796486062e-01	3.010752688172043112e-01	5.539804697036743164e-01
8.945827232796486062e-01	3.064516129032258118e-01	5.334387421607971191e-01
8.960468521229868477e-01	3.064516129032258118e-01	5.298796296119689941e-01
8.960468521229868477e-01	3.118279569892473124e-01	5.208430886268615723e-01
8.989751098096632198e-01	3.118279569892473124e-01	5.170882940292358398e-01
8.989751098096632198e-01	3.279569892473118142e-01	5.146438479423522949e-01
9.004392386530014614e-01	3.279569892473118142e-01	5.081904530525207520e-01
9.004392386530014614e-01	3.333333333333333148e-01	5.049539208412170410e-01
9.033674963396779445e-01	3.333333333333333148e-01	4.873887002468109131e-01
9.033674963396779445e-01	3.387096774193548154e-01	4.854164421558380127e-01
9.077598828696925581e-01	3.387096774193548154e-01	4.705036580562591553e-01
9.077598828696925581e-01	3.440860215053763715e-01	4.669724702835083008e-01
9.092240117130307997e-01	3.440860215053763715e-01	4.633215665817260742e-01
9.092240117130307997e-01	3.494623655913978721e-01	4.317626357078552246e-01
9.106881405563689302e-01	3.494623655913978721e-01	4.250115752220153809e-01
9.106881405563689302e-01	3.548387096774193727e-01	4.187841117382049561e-01
9.121522693997071718e-01	3.548387096774193727e-01	4.151712954044342041e-01
9.121522693997071718e-01	3.655913978494623739e-01	4.006747901439666748e-01
