# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
8.064516129032258058e-04	0.000000000000000000e+00	9.999259710311889648e-01
1.290322580645161289e-02	0.000000000000000000e+00	9.999068975448608398e-01
1.451612903225806515e-02	0.000000000000000000e+00	9.999063014984130859e-01
1.774193548387096794e-02	0.000000000000000000e+00	9.999046325683593750e-01
1.935483870967742021e-02	0.000000000000000000e+00	9.999028444290161133e-01
3.467741935483870802e-02	0.000000000000000000e+00	9.998817443847656250e-01
3.629032258064516375e-02	0.000000000000000000e+00	9.998800754547119141e-01
5.322580645161290036e-02	0.000000000000000000e+00	9.998530149459838867e-01
5.645161290322580488e-02	0.000000000000000000e+00	9.998502731323242188e-01
6.854838709677418818e-02	0.000000000000000000e+00	9.998182654380798340e-01
6.854838709677418818e-02	1.540832049306625632e-03	9.998157620429992676e-01
7.338709677419354149e-02	1.540832049306625632e-03	9.998059868812561035e-01
7.499999999999999722e-02	1.540832049306625632e-03	9.998040795326232910e-01
8.225806451612903414e-02	1.540832049306625632e-03	9.997738003730773926e-01
8.225806451612903414e-02	3.081664098613251263e-03	9.997683167457580566e-01
1.120967741935483819e-01	3.081664098613251263e-03	9.997028708457946777e-01
1.137096774193548376e-01	3.081664098613251263e-03	9.996961355209350586e-01
1.524193548387096642e-01	3.081664098613251263e-03	9.995697140693664551e-01
1.524193548387096642e-01	4.622496147919877112e-03	9.995685219764709473e-01
1.677419354838709797e-01	4.622496147919877112e-03	9.994755387306213379e-01
1.693548387096774077e-01	4.622496147919877112e-03	9.994673132896423340e-01
2.040322580645161366e-01	4.622496147919877112e-03	9.993250370025634766e-01
2.040322580645161366e-01	6.163328197226502526e-03	9.993247985839843750e-01
2.137096774193548432e-01	6.163328197226502526e-03	9.992566704750061035e-01
2.137096774193548432e-01	7.704160246533127941e-03	9.992454051971435547e-01
2.290322580645161310e-01	7.704160246533127941e-03	9.990620017051696777e-01
2.290322580645161310e-01	9.244992295839754223e-03	9.990417361259460449e-01
2.500000000000000000e-01	9.244992295839754223e-03	9.988951086997985840e-01
2.500000000000000000e-01	1.078582434514637964e-02	9.988858103752136230e-01
2.540322580645161255e-01	1.078582434514637964e-02	9.988541603088378906e-01
2.556451612903225534e-01	1.078582434514637964e-02	9.988536834716796875e-01
2.564516129032258229e-01	1.078582434514637964e-02	9.988449811935424805e-01
2.564516129032258229e-01	1.232665639445300505e-02	9.988419413566589355e-01
2.693548387096774133e-01	1.232665639445300505e-02	9.987393021583557129e-01
2.693548387096774133e-01	1.386748844375963047e-02	9.987335801124572754e-01
3.185483870967741882e-01	1.386748844375963047e-02	9.980953335762023926e-01
3.185483870967741882e-01	1.540832049306625588e-02	9.980913996696472168e-01
3.330645161290322620e-01	1.540832049306625588e-02	9.978682994842529297e-01
3.330645161290322620e-01	1.848998459167950845e-02	9.977865219116210938e-01
3.379032258064516014e-01	1.848998459167950845e-02	9.977249503135681152e-01
3.379032258064516014e-01	2.003081664098613213e-02	9.977185726165771484e-01
3.508064516129032473e-01	2.003081664098613213e-02	9.975022673606872559e-01
3.508064516129032473e-01	2.157164869029275928e-02	9.974702596664428711e-01
3.895161290322580738e-01	2.157164869029275928e-02	9.964185953140258789e-01
3.895161290322580738e-01	2.311248073959938296e-02	9.964054822921752930e-01
4.193548387096774355e-01	2.311248073959938296e-02	9.954990744590759277e-01
4.193548387096774355e-01	2.465331278890601011e-02	9.954831600189208984e-01
4.508064516129032251e-01	2.465331278890601011e-02	9.942627549171447754e-01
4.508064516129032251e-01	2.773497688751926094e-02	9.941930174827575684e-01
4.548387096774193505e-01	2.773497688751926094e-02	9.936631917953491211e-01
4.548387096774193505e-01	3.081664098613251176e-02	9.936283230781555176e-01
4.822580645161290147e-01	3.081664098613251176e-02	9.919255375862121582e-01
4.822580645161290147e-01	3.235747303543913544e-02	9.918805956840515137e-01
4.887096774193548376e-01	3.235747303543913544e-02	9.911064505577087402e-01
4.887096774193548376e-01	3.389830508474576259e-02	9.911012649536132812e-01
5.032258064516128560e-01	3.389830508474576259e-02	9.901399016380310059e-01
5.032258064516128560e-01	3.543913713405238974e-02	9.901292920112609863e-01
5.080645161290322509e-01	3.543913713405238974e-02	9.897881746292114258e-01
5.080645161290322509e-01	3.697996918335901689e-02	9.897803068161010742e-01
5.145161290322580738e-01	3.697996918335901689e-02	9.893215894699096680e-01
5.145161290322580738e-01	3.852080123266563710e-02	9.892535805702209473e-01
5.177419354838709298e-01	3.852080123266563710e-02	9.891011118888854980e-01
5.177419354838709298e-01	4.006163328197226425e-02	9.889948964118957520e-01
5.209677419354838968e-01	4.006163328197226425e-02	9.888146519660949707e-01
5.209677419354838968e-01	4.160246533127889140e-02	9.887945652008056641e-01
5.217741935483870552e-01	4.160246533127889140e-02	9.886630177497863770e-01
5.217741935483870552e-01	4.468412942989213876e-02	9.885938167572021484e-01
