# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
8.064516129032258058e-04	0.000000000000000000e+00	9.914285540580749512e-01
3.225806451612903223e-03	0.000000000000000000e+00	9.801903367042541504e-01
3.225806451612903223e-03	1.540832049306625632e-03	9.796534776687622070e-01
2.419354838709677352e-02	1.540832049306625632e-03	9.546310305595397949e-01
2.419354838709677352e-02	3.081664098613251263e-03	9.538774490356445312e-01
9.032258064516128504e-02	3.081664098613251263e-03	9.313561320304870605e-01
9.032258064516128504e-02	4.622496147919877112e-03	9.312614202499389648e-01
9.354838709677419650e-02	4.622496147919877112e-03	9.300770759582519531e-01
9.354838709677419650e-02	6.163328197226502526e-03	9.300419092178344727e-01
1.346774193548387066e-01	6.163328197226502526e-03	9.220256805419921875e-01
1.346774193548387066e-01	7.704160246533127941e-03	9.219646453857421875e-01
1.354838709677419484e-01	7.704160246533127941e-03	9.219119548797607422e-01
1.354838709677419484e-01	9.244992295839754223e-03	9.218935370445251465e-01
1.564516129032258174e-01	9.244992295839754223e-03	9.181343317031860352e-01
1.564516129032258174e-01	1.078582434514637964e-02	9.178474545478820801e-01
1.693548387096774077e-01	1.078582434514637964e-02	9.158633947372436523e-01
1.693548387096774077e-01	1.232665639445300505e-02	9.158129692077636719e-01
1.814516129032258118e-01	1.232665639445300505e-02	9.137133955955505371e-01
1.814516129032258118e-01	1.386748844375963047e-02	9.135969877243041992e-01
1.919354838709677324e-01	1.386748844375963047e-02	9.112735986709594727e-01
1.919354838709677324e-01	1.540832049306625588e-02	9.112632274627685547e-01
1.975806451612903136e-01	1.540832049306625588e-02	9.107555747032165527e-01
1.975806451612903136e-01	1.694915254237288130e-02	9.107457995414733887e-01
2.008064516129032251e-01	1.694915254237288130e-02	9.104162454605102539e-01
2.008064516129032251e-01	1.848998459167950845e-02	9.104139804840087891e-01
2.016129032258064391e-01	1.848998459167950845e-02	9.104086160659790039e-01
2.016129032258064391e-01	2.003081664098613213e-02	9.101679325103759766e-01
2.072580645161290203e-01	2.003081664098613213e-02	9.092974066734313965e-01
2.072580645161290203e-01	2.157164869029275928e-02	9.091456532478332520e-01
2.096774193548387177e-01	2.157164869029275928e-02	9.088896512985229492e-01
2.096774193548387177e-01	2.311248073959938296e-02	9.088360071182250977e-01
2.653225806451612878e-01	2.311248073959938296e-02	9.000277519226074219e-01
2.653225806451612878e-01	2.465331278890601011e-02	8.999984264373779297e-01
2.741935483870967527e-01	2.465331278890601011e-02	8.985476493835449219e-01
2.741935483870967527e-01	2.619414483821263379e-02	8.983576893806457520e-01
2.943548387096774355e-01	2.619414483821263379e-02	8.962504863739013672e-01
2.943548387096774355e-01	2.773497688751926094e-02	8.961661458015441895e-01
2.991935483870967749e-01	2.773497688751926094e-02	8.954189419746398926e-01
2.991935483870967749e-01	2.927580893682588462e-02	8.952250480651855469e-01
2.999999999999999889e-01	2.927580893682588462e-02	8.949648141860961914e-01
2.999999999999999889e-01	3.081664098613251176e-02	8.946961164474487305e-01
3.088709677419355093e-01	3.081664098613251176e-02	8.934123516082763672e-01
3.088709677419355093e-01	3.235747303543913544e-02	8.933349251747131348e-01
3.225806451612903136e-01	3.235747303543913544e-02	8.918272256851196289e-01
3.225806451612903136e-01	3.389830508474576259e-02	8.914282321929931641e-01
3.314516129032258340e-01	3.389830508474576259e-02	8.902843594551086426e-01
3.314516129032258340e-01	3.543913713405238974e-02	8.902204632759094238e-01
3.370967741935483875e-01	3.543913713405238974e-02	8.889958262443542480e-01
3.370967741935483875e-01	3.697996918335901689e-02	8.888085484504699707e-01
3.532258064516128893e-01	3.697996918335901689e-02	8.867428898811340332e-01
3.532258064516128893e-01	3.852080123266563710e-02	8.863087296485900879e-01
3.556451612903225867e-01	3.852080123266563710e-02	8.857300281524658203e-01
3.556451612903225867e-01	4.006163328197226425e-02	8.855029940605163574e-01
3.604838709677419262e-01	4.006163328197226425e-02	8.843501806259155273e-01
3.604838709677419262e-01	4.160246533127889140e-02	8.843029141426086426e-01
3.612903225806451402e-01	4.160246533127889140e-02	8.840118050575256348e-01
