# False Positive Rate (FPR)	True Positive Rate (TPR)	Thresholds
0.000000000000000000e+00	0.000000000000000000e+00	inf
8.064516129032258058e-04	0.000000000000000000e+00	9.941362142562866211e-01
1.282258064516129115e-01	0.000000000000000000e+00	9.917980432510375977e-01
1.282258064516129115e-01	1.540832049306625632e-03	9.917969703674316406e-01
2.169354838709677546e-01	1.540832049306625632e-03	9.896343946456909180e-01
2.169354838709677546e-01	3.081664098613251263e-03	9.896190762519836426e-01
2.314516129032258007e-01	3.081664098613251263e-03	9.891451001167297363e-01
2.314516129032258007e-01	4.622496147919877112e-03	9.890990257263183594e-01
2.354838709677419262e-01	4.622496147919877112e-03	9.889963865280151367e-01
2.354838709677419262e-01	6.163328197226502526e-03	9.889923930168151855e-01
2.556451612903225534e-01	6.163328197226502526e-03	9.883686304092407227e-01
2.556451612903225534e-01	9.244992295839754223e-03	9.883487224578857422e-01
2.750000000000000222e-01	9.244992295839754223e-03	9.875213503837585449e-01
2.750000000000000222e-01	1.078582434514637964e-02	9.875063896179199219e-01
2.846774193548387011e-01	1.078582434514637964e-02	9.868804216384887695e-01
2.846774193548387011e-01	1.232665639445300505e-02	9.868516325950622559e-01
2.919354838709677380e-01	1.232665639445300505e-02	9.864445328712463379e-01
2.919354838709677380e-01	1.386748844375963047e-02	9.863583445549011230e-01
3.008064516129032029e-01	1.386748844375963047e-02	9.856112003326416016e-01
3.008064516129032029e-01	1.540832049306625588e-02	9.856026172637939453e-01
3.112903225806451513e-01	1.540832049306625588e-02	9.847078323364257812e-01
3.112903225806451513e-01	1.694915254237288130e-02	9.846995472908020020e-01
3.217741935483870996e-01	1.694915254237288130e-02	9.837942719459533691e-01
3.217741935483870996e-01	1.848998459167950845e-02	9.837661981582641602e-01
3.314516129032258340e-01	1.848998459167950845e-02	9.827257394790649414e-01
3.314516129032258340e-01	2.003081664098613213e-02	9.827032089233398438e-01
3.491935483870967638e-01	2.003081664098613213e-02	9.806553125381469727e-01
3.491935483870967638e-01	2.157164869029275928e-02	9.805144667625427246e-01
3.604838709677419262e-01	2.157164869029275928e-02	9.776163101196289062e-01
3.604838709677419262e-01	2.311248073959938296e-02	9.774266481399536133e-01
3.685483870967741771e-01	2.311248073959938296e-02	9.765640497207641602e-01
3.685483870967741771e-01	2.465331278890601011e-02	9.765482544898986816e-01
3.790322580645161255e-01	2.465331278890601011e-02	9.745324850082397461e-01
3.790322580645161255e-01	2.619414483821263379e-02	9.745228886604309082e-01
4.008064516129032362e-01	2.619414483821263379e-02	9.671675562858581543e-01
4.008064516129032362e-01	2.773497688751926094e-02	9.665701389312744141e-01
4.169354838709677380e-01	2.773497688751926094e-02	9.606674909591674805e-01
4.169354838709677380e-01	2.927580893682588462e-02	9.601879119873046875e-01
4.266129032258064724e-01	2.927580893682588462e-02	9.570061564445495605e-01
4.266129032258064724e-01	3.081664098613251176e-02	9.569726586341857910e-01
4.298387096774193283e-01	3.081664098613251176e-02	9.562309980392456055e-01
4.298387096774193283e-01	3.235747303543913544e-02	9.556479454040527344e-01
4.306451612903225978e-01	3.235747303543913544e-02	9.554165601730346680e-01
4.306451612903225978e-01	3.543913713405238974e-02	9.551759362220764160e-01
4.475806451612903136e-01	3.543913713405238974e-02	9.507247805595397949e-01
4.475806451612903136e-01	3.697996918335901689e-02	9.498436450958251953e-01
4.677419354838709409e-01	3.697996918335901689e-02	9.436420798301696777e-01
4.677419354838709409e-01	3.852080123266563710e-02	9.433017373085021973e-01
4.798387096774193727e-01	3.852080123266563710e-02	9.391899704933166504e-01
4.798387096774193727e-01	4.006163328197226425e-02	9.391387701034545898e-01
4.822580645161290147e-01	4.006163328197226425e-02	9.385545253753662109e-01
4.822580645161290147e-01	4.314329738058551855e-02	9.378430843353271484e-01
5.064516129032258229e-01	4.314329738058551855e-02	9.310381412506103516e-01
5.064516129032258229e-01	4.468412942989213876e-02	9.310305118560791016e-01
5.072580645161289814e-01	4.468412942989213876e-02	9.305621385574340820e-01
5.072580645161289814e-01	4.622496147919876591e-02	9.305589199066162109e-01
5.120967741935483764e-01	4.622496147919876591e-02	9.293679594993591309e-01
5.120967741935483764e-01	4.776579352850539306e-02	9.288800358772277832e-01
5.177419354838709298e-01	4.776579352850539306e-02	9.275041222572326660e-01
5.177419354838709298e-01	4.930662557781202021e-02	9.273338317871093750e-01
5.201612903225806273e-01	4.930662557781202021e-02	9.262263774871826172e-01
5.201612903225806273e-01	5.084745762711864736e-02	9.260934591293334961e-01
5.217741935483870552e-01	5.084745762711864736e-02	9.256926178932189941e-01
5.217741935483870552e-01	5.238828967642526757e-02	9.253684282302856445e-01
5.322580645161290036e-01	5.238828967642526757e-02	9.225519299507141113e-01
5.322580645161290036e-01	5.392912172573189472e-02	9.223576188087463379e-01
5.379032258064516681e-01	5.392912172573189472e-02	9.194935560226440430e-01
5.379032258064516681e-01	5.546995377503852187e-02	9.188608527183532715e-01
5.395161290322580960e-01	5.546995377503852187e-02	9.177729487419128418e-01
5.395161290322580960e-01	5.701078582434514902e-02	9.176719188690185547e-01
5.548387096774193283e-01	5.701078582434514902e-02	9.138470888137817383e-01
5.548387096774193283e-01	5.855161787365176923e-02	9.136626124382019043e-01
5.572580645161290258e-01	5.855161787365176923e-02	9.125021100044250488e-01
5.572580645161290258e-01	6.009244992295839638e-02	9.123538136482238770e-01
5.677419354838709742e-01	6.009244992295839638e-02	9.097430706024169922e-01
5.677419354838709742e-01	6.163328197226502353e-02	9.093350768089294434e-01
5.685483870967742437e-01	6.163328197226502353e-02	9.090959429740905762e-01
5.685483870967742437e-01	6.471494607087827089e-02	9.087852835655212402e-01
5.741935483870967971e-01	6.471494607087827089e-02	9.058029651641845703e-01
5.741935483870967971e-01	6.625577812018490498e-02	9.052264690399169922e-01
5.766129032258064946e-01	6.625577812018490498e-02	9.038599729537963867e-01
5.766129032258064946e-01	6.933744221879814540e-02	9.036411046981811523e-01
